Date,Index_name,Close,Volume,Daily_Return_,Volatility
2015-01-02,NIFTY 50,8395.45,101900,1.29,1.47
2015-01-05,NIFTY 50,8378.4,118200,-0.35,0.97
2015-01-06,NIFTY 50,8127.35,172800,-2.38,2.6
2015-01-07,NIFTY 50,8102.1,164100,-0.20,1.06
2015-01-08,NIFTY 50,8234.6,143800,0.53,0.93
2015-01-09,NIFTY 50,8284.5,148000,-0.01,1.36
2015-01-12,NIFTY 50,8323.0,103200,0.38,1.05
2015-01-13,NIFTY 50,8299.4,129600,-0.56,1.06
2015-01-14,NIFTY 50,8277.55,146100,-0.36,1.08
2015-01-15,NIFTY 50,8494.15,232100,0.83,1.74
2015-01-16,NIFTY 50,8513.8,176000,0.11,0.92
2015-01-19,NIFTY 50,8550.7,125400,0.01,0.46
2015-01-20,NIFTY 50,8695.6,158700,1.41,1.56
2015-01-21,NIFTY 50,8729.5,185900,0.11,0.6
2015-01-22,NIFTY 50,8761.4,175500,0.18,0.54
2015-01-23,NIFTY 50,8835.6,191200,0.09,0.8
2015-01-27,NIFTY 50,8910.5,192000,0.44,1.12
2015-01-28,NIFTY 50,8914.3,185100,0.13,1.25
2015-01-29,NIFTY 50,8952.35,256300,0.57,1.18
2015-01-30,NIFTY 50,8808.9,267300,-2.09,2.46
2015-02-02,NIFTY 50,8797.4,210100,-0.06,1.02
2015-02-03,NIFTY 50,8756.55,208700,-0.75,1.25
2015-02-04,NIFTY 50,8723.7,195300,-0.74,1.01
2015-02-05,NIFTY 50,8711.7,173600,-0.25,1.77
2015-02-06,NIFTY 50,8661.05,171300,-0.41,0.93
2015-02-09,NIFTY 50,8526.35,146800,-0.68,1.04
2015-02-10,NIFTY 50,8565.55,196200,1.03,2.07
2015-02-11,NIFTY 50,8627.4,161600,0.28,0.68
2015-02-12,NIFTY 50,8711.55,158800,0.40,1.54
2015-02-13,NIFTY 50,8805.5,221900,0.73,1.06
2015-02-16,NIFTY 50,8809.35,136400,-0.25,0.87
2015-02-18,NIFTY 50,8869.1,147600,0.65,0.97
2015-02-19,NIFTY 50,8895.3,213300,0.14,1.34
2015-02-20,NIFTY 50,8833.6,197600,-0.70,0.94
2015-02-23,NIFTY 50,8754.95,139600,-1.15,1.5
2015-02-24,NIFTY 50,8762.1,149800,-0.12,0.84
2015-02-25,NIFTY 50,8767.25,135200,-0.39,1.01
2015-02-26,NIFTY 50,8683.85,217500,-1.08,1.33
2015-02-27,NIFTY 50,8844.6,249500,1.32,1.6
2015-03-02,NIFTY 50,8956.75,218100,0.03,0.97
2015-03-03,NIFTY 50,8996.25,177800,0.37,0.92
2015-03-04,NIFTY 50,8922.65,248400,-2.05,2.47
2015-03-05,NIFTY 50,8937.75,160100,0.09,1.21
2015-03-09,NIFTY 50,8756.75,155500,-1.51,1.7
2015-03-10,NIFTY 50,8712.05,163800,-0.66,1.15
2015-03-11,NIFTY 50,8699.95,172800,-0.33,0.84
2015-03-12,NIFTY 50,8776.0,173900,0.40,0.62
2015-03-13,NIFTY 50,8647.75,179200,-2.22,2.46
2015-03-16,NIFTY 50,8633.15,163300,-0.27,0.6
2015-03-17,NIFTY 50,8723.3,177000,0.39,1.29
2015-03-18,NIFTY 50,8685.9,156400,-0.65,0.95
2015-03-19,NIFTY 50,8634.65,163500,-1.31,1.98
2015-03-20,NIFTY 50,8570.9,174600,-0.66,0.87
2015-03-23,NIFTY 50,8550.9,150700,-0.47,0.79
2015-03-24,NIFTY 50,8542.95,156700,0.07,1.08
2015-03-25,NIFTY 50,8530.8,161000,-0.44,0.67
2015-03-26,NIFTY 50,8342.15,280100,-1.57,2.05
2015-03-27,NIFTY 50,8341.4,193000,-0.65,1.72
2015-03-30,NIFTY 50,8492.3,134700,1.21,1.33
2015-03-31,NIFTY 50,8491.0,167200,-0.43,1.13
2015-04-01,NIFTY 50,8586.25,125500,1.21,1.63
2015-04-06,NIFTY 50,8659.9,146900,0.51,1.09
2015-04-07,NIFTY 50,8660.3,148700,-0.28,1.23
2015-04-08,NIFTY 50,8714.4,148200,0.18,0.58
2015-04-09,NIFTY 50,8778.3,152700,0.25,1.18
2015-04-10,NIFTY 50,8780.35,139000,0.07,0.61
2015-04-13,NIFTY 50,8834.0,121600,0.37,0.9
2015-04-16,NIFTY 50,8706.7,142900,-0.57,1.31
2015-04-17,NIFTY 50,8606.0,150400,-1.06,1.19
2015-04-20,NIFTY 50,8448.1,148900,-1.98,2.29
2015-04-21,NIFTY 50,8377.75,407800,-0.46,1.39
2015-04-22,NIFTY 50,8429.7,171800,0.35,1.97
2015-04-23,NIFTY 50,8398.3,156000,-0.94,1.69
2015-04-24,NIFTY 50,8305.25,173600,-1.20,1.66
2015-04-27,NIFTY 50,8213.8,171500,-1.40,1.59
2015-04-28,NIFTY 50,8285.6,174600,0.85,1.5
2015-04-29,NIFTY 50,8239.75,160400,-0.42,1.08
2015-04-30,NIFTY 50,8181.5,267700,-0.52,1.03
2015-05-04,NIFTY 50,8331.95,131700,1.24,1.53
2015-05-05,NIFTY 50,8324.8,155500,-0.16,0.9
2015-05-06,NIFTY 50,8097.0,209600,-2.64,2.99
2015-05-07,NIFTY 50,8057.3,161600,-0.24,1.55
2015-05-08,NIFTY 50,8191.5,183100,0.74,1.25
2015-05-11,NIFTY 50,8325.25,192000,1.00,1.31
2015-05-12,NIFTY 50,8126.95,173400,-2.39,2.54
2015-05-13,NIFTY 50,8235.45,169800,0.66,2.02
2015-05-14,NIFTY 50,8224.2,134800,-0.10,1.2
2015-05-15,NIFTY 50,8262.35,129800,0.27,0.81
2015-05-18,NIFTY 50,8373.65,148700,1.07,1.36
2015-05-19,NIFTY 50,8365.65,140300,0.11,1.11
2015-05-20,NIFTY 50,8423.25,123600,0.36,0.58
2015-05-21,NIFTY 50,8421.0,143800,-0.16,0.76
2015-05-22,NIFTY 50,8458.95,187300,0.31,0.82
2015-05-25,NIFTY 50,8370.25,121300,-0.80,0.92
2015-05-26,NIFTY 50,8339.35,116800,-0.45,0.7
2015-05-27,NIFTY 50,8334.6,165500,0.38,0.78
2015-05-28,NIFTY 50,8319.0,232300,-0.32,1.13
2015-05-29,NIFTY 50,8433.65,363900,1.28,1.66
2015-06-01,NIFTY 50,8433.4,122200,0.19,0.73
2015-06-02,NIFTY 50,8236.45,146800,-2.44,2.6
2015-06-03,NIFTY 50,8135.1,171400,-1.18,1.73
2015-06-04,NIFTY 50,8130.65,154700,-0.30,1.27
2015-06-05,NIFTY 50,8114.7,162100,-0.05,1.12
2015-06-08,NIFTY 50,8044.15,135900,-0.99,1.24
2015-06-09,NIFTY 50,8022.4,136000,-0.05,0.65
2015-06-10,NIFTY 50,8124.45,136800,1.25,1.6
2015-06-11,NIFTY 50,7965.35,166200,-2.35,2.51
2015-06-12,NIFTY 50,7982.9,136600,0.29,0.69
2015-06-15,NIFTY 50,8013.9,133000,0.34,1.41
2015-06-16,NIFTY 50,8047.3,124000,0.54,1.37
2015-06-17,NIFTY 50,8091.55,152500,0.09,1.09
2015-06-18,NIFTY 50,8174.6,144800,0.75,1.05
2015-06-19,NIFTY 50,8224.95,147100,0.29,0.67
2015-06-22,NIFTY 50,8353.1,122700,1.14,1.36
