Date,Dividends,Stock
2015-05-22,1.1,ADANIPORTS
2016-03-22,1.1,ADANIPORTS
2017-07-31,1.3,ADANIPORTS
2018-07-26,2.0,ADANIPORTS
2019-07-26,0.2,ADANIPORTS
2020-03-16,3.2,ADANIPORTS
2021-06-24,5.0,ADANIPORTS
2022-07-14,5.0,ADANIPORTS
2023-07-28,5.0,ADANIPORTS
2024-06-14,6.0,ADANIPORTS
2015-07-30,5.75,APOLLOHOSP
2016-03-22,6.0,APOLLOHOSP
2017-09-07,6.0,APOLLOHOSP
2018-09-12,5.0,APOLLOHOSP
2019-09-12,6.0,APOLLOHOSP
2020-02-25,3.25,APOLLOHOSP
2020-09-17,2.75,APOLLOHOSP
2021-08-18,3.0,APOLLOHOSP
2022-08-18,11.75,APOLLOHOSP
2023-02-24,6.0,APOLLOHOSP
2023-08-17,9.0,APOLLOHOSP
2023-08-18,9.0,APOLLOHOSP
2024-02-20,6.0,APOLLOHOSP
2024-08-16,10.0,APOLLOHOSP
2015-06-24,4.3,ASIANPAINT
2015-10-28,2.2,ASIANPAINT
2016-06-16,5.3,ASIANPAINT
2016-11-01,2.65,ASIANPAINT
2017-06-15,2.0,ASIANPAINT
2017-10-31,2.65,ASIANPAINT
2018-06-14,6.05,ASIANPAINT
2018-10-29,2.85,ASIANPAINT
2019-06-13,7.65,ASIANPAINT
2019-10-30,3.35,ASIANPAINT
2020-03-03,7.15,ASIANPAINT
2020-07-23,1.5,ASIANPAINT
2020-10-28,3.35,ASIANPAINT
2021-06-10,14.5,ASIANPAINT
2021-10-28,3.65,ASIANPAINT
2022-06-09,15.5,ASIANPAINT
2022-10-31,4.4,ASIANPAINT
2023-06-09,21.25,ASIANPAINT
2023-11-03,5.15,ASIANPAINT
2024-06-11,28.15,ASIANPAINT
2024-11-19,4.25,ASIANPAINT
2015-07-09,4.6,AXISBANK
2016-07-07,5.0,AXISBANK
2017-07-06,5.0,AXISBANK
2019-07-04,1.0,AXISBANK
2022-07-07,1.0,AXISBANK
2023-07-06,1.0,AXISBANK
2023-07-07,1.0,AXISBANK
2024-07-12,1.0,AXISBANK
2015-07-09,1.8,BAJFINANCE
2016-03-16,1.8,BAJFINANCE
2016-07-14,0.7,BAJFINANCE
2017-07-06,3.6,BAJFINANCE
2018-07-05,4.0,BAJFINANCE
2019-07-11,6.0,BAJFINANCE
2020-03-03,10.0,BAJFINANCE
2021-07-08,10.0,BAJFINANCE
2022-06-30,20.0,BAJFINANCE
2023-06-30,30.0,BAJFINANCE
2024-06-21,36.0,BAJFINANCE
2015-07-09,0.175,BAJAJFINSV
2016-03-16,0.175,BAJAJFINSV
2017-07-06,0.175,BAJAJFINSV
2018-07-05,0.175,BAJAJFINSV
2019-07-11,0.25,BAJAJFINSV
2020-03-03,0.5,BAJAJFINSV
2021-07-08,0.3,BAJAJFINSV
2022-06-30,0.4,BAJAJFINSV
2023-06-30,0.8,BAJAJFINSV
2024-06-21,1.0,BAJAJFINSV
2015-01-28,0.060606,BEL
2015-08-10,0.234343,BEL
2016-02-04,0.075758,BEL
2016-08-18,0.439394,BEL
2017-02-02,0.090909,BEL
2017-03-29,0.272727,BEL
2017-08-14,0.318182,BEL
2018-02-08,0.533333,BEL
2018-08-20,0.133333,BEL
2019-02-08,0.1,BEL
2019-03-27,0.233333,BEL
2019-08-20,0.566667,BEL
2020-02-11,0.466667,BEL
2020-09-15,0.466667,BEL
2021-02-08,0.466667,BEL
2021-03-23,0.466667,BEL
2021-09-14,0.4,BEL
2022-02-09,0.5,BEL
2022-03-24,0.5,BEL
2022-08-08,0.5,BEL
2023-02-10,0.6,BEL
2023-03-24,0.6,BEL
2023-08-17,0.6,BEL
2024-02-09,0.7,BEL
2024-03-22,0.7,BEL
2024-08-14,0.8,BEL
2015-08-13,2.000791,BHARTIARTL
2016-08-11,1.22571,BHARTIARTL
2017-07-13,0.901257,BHARTIARTL
2018-01-30,2.559571,BHARTIARTL
2018-08-02,2.253143,BHARTIARTL
2018-11-05,2.253143,BHARTIARTL
2020-08-06,1.963142,BHARTIARTL
2022-08-01,3.0,BHARTIARTL
2023-08-11,4.0,BHARTIARTL
2024-08-07,8.0,BHARTIARTL
2015-08-28,3.75,BPCL
2016-02-02,2.083333,BPCL
2016-03-03,0.583333,BPCL
2016-06-06,2.5,BPCL
2017-02-28,6.5,BPCL
2017-03-24,4.0,BPCL
2017-06-08,0.333333,BPCL
2018-02-22,7.0,BPCL
2018-08-31,3.5,BPCL
2019-02-21,5.5,BPCL
2019-08-21,4.0,BPCL
2019-08-22,8.0,BPCL
2020-03-23,8.25,BPCL
2021-02-17,8.0,BPCL
2021-03-25,2.5,BPCL
2021-09-16,17.5,BPCL
2021-11-11,2.5,BPCL
2022-02-10,2.5,BPCL
2022-08-19,3.0,BPCL
2023-08-11,2.0,BPCL
2023-12-12,10.5,BPCL
2024-08-09,10.5,BPCL
2015-08-11,2.0,CIPLA
2016-09-12,2.0,CIPLA
2017-07-26,2.0,CIPLA
2018-08-13,3.0,CIPLA
